verdict,slug,errM,test,subject,relation,direction,anchorKind,anchorName,negated,hedged,surfaces,quote,text
"not-refuted","elmwood-crescent-milton","-1227","T4 proximity (central)","street","proximity","none","downtown","the heart of Milton","false","false","sec:about","The street sits close to the heart of Milton","The street sits close to the heart of Milton, where the grid of older neighbourhoods gives way to mature trees and established homes."
"not-checkable","baverstock-crescent-milton","","","","other-position","none","road","Wettlaufer Terrace","false","false","sec:about","forms a gentle crescent off Wettlaufer Terrace","The street forms a gentle crescent off Wettlaufer Terrace, just north of Derry Road."
"not-refuted","baverstock-crescent-milton","-585","T3 road","street","anchor-compass","north","road","Derry Road","false","false","sec:about","just north of Derry Road","The street forms a gentle crescent off Wettlaufer Terrace, just north of Derry Road."
"not-refuted","kearns-drive-milton","-2209","T1 town","street","town-compass","north","town","Milton","false","false","hero ld-place sec:about","runs through a settled part of the town's north end","Kearns Drive sits in the Clarke neighbourhood of Milton, a residential street that runs through a settled part of the town's north end."
"not-refuted","harrison-road-milton","428","T1 downtown","polygon:Timberlea","anchor-compass","west","downtown","the downtown core","false","false","hero ld-place sec:about","sits west of the downtown core","Harrison Road is a residential street in Milton's Timberlea neighbourhood, a pocket of the town that sits west of the downtown core and north of the escarpment lands."
"not-checkable","harrison-road-milton","","","","anchor-compass","north","escarpment","the escarpment lands","false","false","hero ld-place sec:about","north of the escarpment lands","Harrison Road is a residential street in Milton's Timberlea neighbourhood, a pocket of the town that sits west of the downtown core and north of the escarpment lands."
"not-checkable","frank-place-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place","sits west of the escarpment","Frank Place is a short residential street in Milton's Harrison area, a pocket of the town that sits west of the escarpment and north of the main commercial spine."
"not-checkable","frank-place-milton","","","","anchor-compass","north","commercial-corridor","the main commercial spine","false","false","hero ld-place","north of the main commercial spine","Frank Place is a short residential street in Milton's Harrison area, a pocket of the town that sits west of the escarpment and north of the main commercial spine."
"not-checkable","murlock-heights-milton","","","","anchor-compass","west","escarpment","the escarpment line","false","false","hero ld-place sec:about","sits west of the escarpment line","Murlock Heights is a residential street in Milton's Ford area, a pocket of the town that sits west of the escarpment line and north of the older core."
"WRONG","murlock-heights-milton","1863","T1 downtown","polygon:Ford","anchor-compass","north","downtown","the older core","false","false","hero ld-place sec:about","north of the older core","Murlock Heights is a residential street in Milton's Ford area, a pocket of the town that sits west of the escarpment line and north of the older core."
"MISPLACED","marley-crescent-milton","591","T1 town","polygon:Beaty","town-compass","west","town","Milton","false","false","hero ld-place sec:about","the Beaty area of west Milton","Marley Crescent is a short residential crescent in the Beaty area of west Milton, a pocket of the town that fills the grid between Derry Road and the escarpment side of the municipality."
"not-checkable","marley-crescent-milton","","","","other-position","none","road","Derry Road and the escarpment side of the municipality","false","false","hero ld-place sec:about","fills the grid between Derry Road and the escarpment side of the municipality","Marley Crescent is a short residential crescent in the Beaty area of west Milton, a pocket of the town that fills the grid between Derry Road and the escarpment side of the municipality."
